"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2304","User login with wrong email or password","LMS system","Wed May 06 03:26:38 UTC 2026","passed","Wed May 06 03:26:40 UTC 2026","Authorization","Authentication","",""
"","4343","Edit course","LMS system","Wed May 06 03:26:50 UTC 2026","passed","Wed May 06 03:26:55 UTC 2026","Courses","Courses","",""
"","2366","User login with wrong email or password","LMS system","Wed May 06 03:26:38 UTC 2026","passed","Wed May 06 03:26:40 UTC 2026","Authorization","Authentication","",""
"","3052","Registration with correct email, username and password","LMS system","Wed May 06 03:26:43 UTC 2026","passed","Wed May 06 03:26:46 UTC 2026","Registration","Authentication","",""
"","2420","Check displaying of dashboard page","LMS system","Wed May 06 03:26:53 UTC 2026","passed","Wed May 06 03:26:56 UTC 2026","Dashboard","Dashboard","",""
"","1771","User login with wrong email or password","LMS system","Wed May 06 03:26:41 UTC 2026","passed","Wed May 06 03:26:43 UTC 2026","Authorization","Authentication","",""
"","3607","Create course","LMS system","Wed May 06 03:26:49 UTC 2026","passed","Wed May 06 03:26:53 UTC 2026","Courses","Courses","",""
"","1709","Check displaying of empty courses list","LMS system","Wed May 06 03:26:48 UTC 2026","passed","Wed May 06 03:26:50 UTC 2026","Courses","Courses","",""
"","1719","Navigation from login page to registration page","LMS system","Wed May 06 03:26:45 UTC 2026","passed","Wed May 06 03:26:47 UTC 2026","Authorization","Authentication","",""
"","3984","User login with correct email and password","LMS system","Wed May 06 03:26:41 UTC 2026","passed","Wed May 06 03:26:45 UTC 2026","Authorization","Authentication","",""
